record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,redONE,Afghanistan,South Asia,prepaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
2,redONE,Afghanistan,South Asia,postpaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
87,redONE,China,East Asia,prepaid,0.2,0.2,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
88,redONE,China,East Asia,postpaid,0.2,0.2,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
89,redONE,Colombia,South America,prepaid,2.17,2.17,0.5,video_call=0.04/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
90,redONE,Colombia,South America,postpaid,2.17,2.17,0.5,video_call=0.04/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
91,redONE,Comoros,Africa,prepaid,2.17,2.17,0.5,video_call=3.13/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
92,redONE,Comoros,Africa,postpaid,2.17,2.17,0.5,video_call=3.13/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
93,redONE,Cook Islands,Oceania,prepaid,3.79,3.79,0.5,video_call=12.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
94,redONE,Cook Islands,Oceania,postpaid,3.79,3.79,0.5,video_call=12.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
95,redONE,Costa Rica,Central America,prepaid,2.17,2.17,0.5,video_call=0.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
96,redONE,Costa Rica,Central America,postpaid,2.17,2.17,0.5,video_call=0.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
97,redONE,Croatia,Europe,prepaid,2.17,2.17,0.5,video_call=5.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
98,redONE,Croatia,Europe,postpaid,2.17,2.17,0.5,video_call=5.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
99,redONE,Cuba,Caribbean,prepaid,3.79,3.79,0.5,video_call=4.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
100,redONE,Cuba,Caribbean,postpaid,3.79,3.79,0.5,video_call=4.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
101,redONE,Cyprus,Middle East,prepaid,2.17,2.17,0.5,video_call=0.48/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
102,redONE,Cyprus,Middle East,postpaid,2.17,2.17,0.5,video_call=0.48/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
103,redONE,Czech Republic,Europe,prepaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
104,redONE,Czech Republic,Europe,postpaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
105,redONE,Dem. Rep. of Congo,Africa,prepaid,2.17,2.17,0.5,video_call=5.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
106,redONE,Dem. Rep. of Congo,Africa,postpaid,2.17,2.17,0.5,video_call=5.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
107,redONE,Dem. Rep. of Congo (Zaire),Africa,prepaid,2.17,2.17,0.5,video_call=2.84/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
108,redONE,Dem. Rep. of Congo (Zaire),Africa,postpaid,2.17,2.17,0.5,video_call=2.84/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
109,redONE,Denmark,Europe,prepaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
110,redONE,Denmark,Europe,postpaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
111,redONE,Diego Garcia,Other,prepaid,2.17,2.17,0.5,video_call=9.16/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
112,redONE,Diego Garcia,Other,postpaid,2.17,2.17,0.5,video_call=9.16/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
113,redONE,Djibouti,Africa,prepaid,2.17,2.17,0.5,video_call=4.11/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
114,redONE,Djibouti,Africa,postpaid,2.17,2.17,0.5,video_call=4.11/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
115,redONE,Dominica,Caribbean,prepaid,2.91,2.74,0.5,video_call=2.91/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
116,redONE,Dominica,Caribbean,postpaid,2.91,2.74,0.5,video_call=2.91/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
117,redONE,Dominican Republic,Caribbean,prepaid,2.17,2.17,0.5,video_call=1.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
118,redONE,Dominican Republic,Caribbean,postpaid,2.17,2.17,0.5,video_call=1.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
119,redONE,Ecuador,South America,prepaid,2.17,2.17,0.5,video_call=0.96/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
120,redONE,Ecuador,South America,postpaid,2.17,2.17,0.5,video_call=0.96/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
121,redONE,Egypt,Africa,prepaid,2.17,2.17,0.5,video_call=0.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
122,redONE,Egypt,Africa,postpaid,2.17,2.17,0.5,video_call=0.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
