record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
109,Hotlink,Ecuador,South America,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
110,Hotlink,Ecuador,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
111,Hotlink,Egypt,Africa,prepaid,2.4,2.4,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
112,Hotlink,Egypt,Africa,postpaid,2.88,2.88,0.5,IDD 132: RM0.865/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
113,Hotlink,El Salvador,Central America,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
114,Hotlink,El Salvador,Central America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
115,Hotlink,Equatorial Guinea,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
116,Hotlink,Equatorial Guinea,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
117,Hotlink,Eritrea,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
118,Hotlink,Eritrea,Africa,postpaid,4.8,4.8,,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
119,Hotlink,Estonia,Europe,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
120,Hotlink,Estonia,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
121,Hotlink,Ethiopia,Africa,prepaid,4.0,4.0,,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
122,Hotlink,Ethiopia,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
123,Hotlink,Faroe Islands,Europe,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
124,Hotlink,Faroe Islands,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
125,Hotlink,Falkland Islands,Europe,prepaid,6.28,6.28,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
126,Hotlink,Falkland Islands,Europe,postpaid,7.54,7.54,0.5,IDD 132: RM2.79/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
127,Hotlink,Fiji Islands,Oceania,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
128,Hotlink,Fiji Islands,Oceania,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
129,Hotlink,Finland,Europe,prepaid,3.0,3.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
130,Hotlink,Finland,Europe,postpaid,3.6,3.6,0.5,IDD 132: RM0.1975/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
131,Hotlink,France,Europe,prepaid,0.99,0.2,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
132,Hotlink,France,Europe,postpaid,1.2,1.2,0.5,IDD 132: RM0.145/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
133,Hotlink,French Guiana,South America,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
134,Hotlink,French Guiana,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
135,Hotlink,French Polynesia,Oceania,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
136,Hotlink,French Polynesia,Oceania,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
137,Hotlink,Gabon,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
138,Hotlink,Gabon,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
139,Hotlink,Gambia,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
140,Hotlink,Gambia,Africa,postpaid,4.8,4.8,,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
141,Hotlink,Georgia,Caucasus,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
