record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
150,Tune Talk,France,Europe,postpaid,0.95,0.2,,33,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
151,Tune Talk,French Guyana,Other,prepaid,0.48,2.28,,594,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
152,Tune Talk,French Guyana,Other,postpaid,0.48,2.28,,594,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
153,Tune Talk,French Polynesia,Other,prepaid,2.28,2.28,,689,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
154,Tune Talk,French Polynesia,Other,postpaid,2.28,2.28,,689,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
155,Tune Talk,Gabon,Other,prepaid,5.88,3.88,,241,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
156,Tune Talk,Gabon,Other,postpaid,5.88,3.88,,241,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
157,Tune Talk,Gambia,Other,prepaid,3.88,7.88,,220,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
158,Tune Talk,Gambia,Other,postpaid,3.88,7.88,,220,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
159,Tune Talk,Georgia,Other,prepaid,0.75,2.28,,995,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
160,Tune Talk,Georgia,Other,postpaid,0.75,2.28,,995,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
161,Tune Talk,Germany,Europe,prepaid,0.75,1.58,,49,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
162,Tune Talk,Germany,Europe,postpaid,0.75,1.58,,49,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
163,Tune Talk,Ghana,Other,prepaid,0.35,2.28,,233,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
164,Tune Talk,Ghana,Other,postpaid,0.35,2.28,,233,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
165,Tune Talk,Gibraltar,Other,prepaid,2.28,2.28,,350,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
166,Tune Talk,Gibraltar,Other,postpaid,2.28,2.28,,350,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
167,Tune Talk,Greece,Europe,prepaid,0.75,2.28,,30,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
168,Tune Talk,Greece,Europe,postpaid,0.75,2.28,,30,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
169,Tune Talk,Greenland,Other,prepaid,2.28,2.28,,299,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
170,Tune Talk,Greenland,Other,postpaid,2.28,2.28,,299,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
171,Tune Talk,Grenada,Other,prepaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
172,Tune Talk,Grenada,Other,postpaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
173,Tune Talk,Guadeloupe,Other,prepaid,2.28,2.28,,590,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
174,Tune Talk,Guadeloupe,Other,postpaid,2.28,2.28,,590,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
175,Tune Talk,Guam,Oceania,prepaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
176,Tune Talk,Guam,Oceania,postpaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
177,Tune Talk,Guatemala,Other,prepaid,2.28,2.28,,502,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
