brand,country,country_slug,plan_type,countryCode,callRateFixed,callRateMobile,smsRate,sms_rate_myr,source_url
Yes,Cuba,cuba,postpaid,53,4.10,4.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Cuba-Guantanamo,cuba-guantanamo,prepaid,539,4.10,4.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Cuba-Guantanamo,cuba-guantanamo,postpaid,539,4.10,4.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Cyprus,cyprus,prepaid,357,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Cyprus,cyprus,postpaid,357,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Czech Republic,czech-republic,prepaid,420,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Czech Republic,czech-republic,postpaid,420,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Denmark,denmark,prepaid,45,2.28,2.28,0.28,0.28,https://www.yes.my/roaming/
Yes,Denmark,denmark,postpaid,45,2.28,2.28,0.28,0.28,https://www.yes.my/roaming/
Yes,Diego Garcia,diego-garcia,prepaid,246,11.90,11.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Diego Garcia,diego-garcia,postpaid,246,11.90,11.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Djibouti,djibouti,prepaid,253,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Djibouti,djibouti,postpaid,253,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Dominica,dominica,prepaid,1767,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Dominica,dominica,postpaid,1767,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Dominica Republic,dominica-republic,prepaid,1809 1829,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Dominica Republic,dominica-republic,postpaid,1809 1829,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,East Timor,east-timor,prepaid,670,6.00,6.00,0.48,0.48,https://www.yes.my/roaming/
Yes,East Timor,east-timor,postpaid,670,6.00,6.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Ecuador,ecuador,prepaid,593,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Ecuador,ecuador,postpaid,593,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Egypt,egypt,prepaid,20,2.28,2.28,0.38,0.38,https://www.yes.my/roaming/
Yes,Egypt,egypt,postpaid,20,2.28,2.28,0.38,0.38,https://www.yes.my/roaming/
Yes,El Salvador,el-salvador,prepaid,503,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,El Salvador,el-salvador,postpaid,503,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Equatorial Guinea,equatorial-guinea,prepaid,240,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Equatorial Guinea,equatorial-guinea,postpaid,240,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Eritrea,eritrea,prepaid,291,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Eritrea,eritrea,postpaid,291,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Estonia,estonia,prepaid,372,4.80,4.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Estonia,estonia,postpaid,372,4.80,4.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Ethiopia,ethiopia,prepaid,251,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Ethiopia,ethiopia,postpaid,251,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Falkland Islands,falkland-islands,prepaid,500,11.20,11.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Falkland Islands,falkland-islands,postpaid,500,11.20,11.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Faroe Islands,faroe-islands,prepaid,298,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Faroe Islands,faroe-islands,postpaid,298,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Fiji Islands,fiji-islands,prepaid,679,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Fiji Islands,fiji-islands,postpaid,679,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Finland,finland,prepaid,358,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Finland,finland,postpaid,358,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,France,france,prepaid,33,2.30,2.30,0.48,0.48,https://www.yes.my/roaming/
Yes,France,france,postpaid,33,2.30,2.30,0.48,0.48,https://www.yes.my/roaming/
Yes,French Guiana,french-guiana,prepaid,594,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,French Guiana,french-guiana,postpaid,594,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,French Polynesia (Tahiti),french-polynesia-tahiti,prepaid,689,2.43,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,French Polynesia (Tahiti),french-polynesia-tahiti,postpaid,689,2.43,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Gabon,gabon,prepaid,241,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Gabon,gabon,postpaid,241,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Gambia,gambia,prepaid,220,4.00,4.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Gambia,gambia,postpaid,220,4.00,4.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Georgia,georgia,prepaid,995,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Georgia,georgia,postpaid,995,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Germany,germany,prepaid,49,2.10,2.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Germany,germany,postpaid,49,2.10,2.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Ghana,ghana,prepaid,233,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Ghana,ghana,postpaid,233,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Gibraltar,gibraltar,prepaid,350,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Gibraltar,gibraltar,postpaid,350,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Greece,greece,prepaid,30,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Greece,greece,postpaid,30,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Greenland,greenland,prepaid,299,2.30,2.30,0.28,0.28,https://www.yes.my/roaming/
Yes,Greenland,greenland,postpaid,299,2.30,2.30,0.28,0.28,https://www.yes.my/roaming/
Yes,Grenada,grenada,prepaid,1473,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Grenada,grenada,postpaid,1473,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Guadeloupe,guadeloupe,prepaid,590,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Guadeloupe,guadeloupe,postpaid,590,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Guatemala,guatemala,prepaid,502,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Guatemala,guatemala,postpaid,502,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Guinea - Bussau,guinea-bussau,prepaid,245,5.80,5.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Guinea - Bussau,guinea-bussau,postpaid,245,5.80,5.80,0.48,0.48,https://www.yes.my/roaming/
